# relic_survival_map.py, alphaD=0.5, direct detection only (best2026)
# every row has Omega h^2 = 0.1204 by construction; dd_covered=0 means no experiment reaches that mchi
# the _cenuns columns fold in the PandaX-4T S2 CEvNS recast; the allowed set is alphaD independent
R,MAp,eps,eps_ddlimit,ratio,dd_covered,allowed,eps_ddlimit_cenuns,ratio_cenuns,dd_covered_cenuns,allowed_cenuns
5.0353846154e-01,8.0334008241e-02,1.1186448915e-05,1.9254995014e-05,5.8096348022e-01,1,1,1.8519757702e-05,6.0402782235e-01,1,1
5.0353846154e-01,8.5261644732e-02,1.1876380576e-05,1.7221652059e-05,6.8961912218e-01,1,1,1.7221652059e-05,6.8961912218e-01,1,1
5.0353846154e-01,9.0491539282e-02,1.2608864229e-05,1.6492170450e-05,7.6453637606e-01,1,1,1.6492170450e-05,7.6453637606e-01,1,1
5.0353846154e-01,9.6042232206e-02,1.3386524298e-05,1.5873903100e-05,8.4330389403e-01,1,1,1.5873903100e-05,8.4330389403e-01,1,1
5.0353846154e-01,1.0193340107e-01,1.4298806989e-05,1.6032635578e-05,8.9185629645e-01,1,1,1.6032635578e-05,8.9185629645e-01,1,1
5.0353846154e-01,1.0818593045e-01,1.5183952237e-05,1.6407618795e-05,9.2542083201e-01,1,1,1.6407618795e-05,9.2542083201e-01,1,1
5.0353846154e-01,1.1482198597e-01,1.6123891014e-05,1.6373223699e-05,9.8477192457e-01,1,1,1.6373223699e-05,9.8477192457e-01,1,1
5.0353846154e-01,1.2186509287e-01,1.7122015229e-05,1.6777868719e-05,1.0205119324e+00,1,0,1.6777868719e-05,1.0205119324e+00,1,0
5.0353846154e-01,1.2934021943e-01,1.8181926759e-05,1.7433218119e-05,1.0429472421e+00,1,0,1.7433218119e-05,1.0429472421e+00,1,0
5.0353846154e-01,1.3727386545e-01,1.9307450453e-05,1.8140444266e-05,1.0643317313e+00,1,0,1.8140444266e-05,1.0643317313e+00,1,0
5.0353846154e-01,1.4569415623e-01,2.0502647928e-05,1.8921890315e-05,1.0835412100e+00,1,0,1.8921890315e-05,1.0835412100e+00,1,0
5.0353846154e-01,1.5463094224e-01,2.1771832230e-05,1.9910626224e-05,1.0934780245e+00,1,0,1.9910626224e-05,1.0934780245e+00,1,0
5.0353846154e-01,1.6411590496e-01,2.3250836036e-05,2.1249261722e-05,1.0941950050e+00,1,0,2.1249261722e-05,1.0941950050e+00,1,0
5.0353846154e-01,1.7418266921e-01,2.4830311509e-05,2.2678387682e-05,1.0948887486e+00,1,0,2.2678387682e-05,1.0948887486e+00,1,0
5.0353846154e-01,1.8486692231e-01,2.6230968219e-05,2.4703116766e-05,1.0618485298e+00,1,0,2.4703116766e-05,1.0618485298e+00,1,0
5.0353846154e-01,1.9620654064e-01,2.7710634781e-05,2.6958295605e-05,1.0279075201e+00,1,0,2.6958295605e-05,1.0279075201e+00,1,0
5.0353846154e-01,2.0824172388e-01,2.7982598922e-05,2.9643006737e-05,9.4398652505e-01,1,1,2.9643006737e-05,9.4398652505e-01,1,1
5.0353846154e-01,2.2101513753e-01,2.5746501661e-05,3.2732010874e-05,7.8658478269e-01,1,1,3.2732010874e-05,7.8658478269e-01,1,1
5.0353846154e-01,2.3457206418e-01,2.6053522878e-05,3.6143493333e-05,7.2083577086e-01,1,1,3.6143493333e-05,7.2083577086e-01,1,1
5.0353846154e-01,2.4896056400e-01,2.6969180107e-05,4.0083132984e-05,6.7283114117e-01,1,1,4.0083132984e-05,6.7283114117e-01,1,1
5.0353846154e-01,2.6423164516e-01,2.8118047313e-05,4.4630798214e-05,6.3001443931e-01,1,1,4.4630798214e-05,6.3001443931e-01,1,1
5.0353846154e-01,2.8043944464e-01,2.9501026545e-05,4.9695094027e-05,5.9364062233e-01,1,1,4.9695094027e-05,5.9364062233e-01,1,1
5.0353846154e-01,2.9764142013e-01,3.0952027270e-05,5.5334744665e-05,5.5935971978e-01,1,1,5.5334744665e-05,5.5935971978e-01,1,1
5.0353846154e-01,3.1589855375e-01,3.2474395108e-05,5.9415498372e-05,5.4656438131e-01,1,1,5.9415498372e-05,5.4656438131e-01,1,1
5.0353846154e-01,3.3527556823e-01,3.4071640233e-05,5.9204954179e-05,5.7548630357e-01,1,1,5.9204954179e-05,5.7548630357e-01,1,1
5.0353846154e-01,3.5584115634e-01,3.5747445467e-05,5.9134000884e-05,6.0451592877e-01,1,1,5.9134000884e-05,6.0451592877e-01,1,1
5.0353846154e-01,3.7766822442e-01,3.7505674768e-05,5.9131305256e-05,6.3427780945e-01,1,1,5.9131305256e-05,6.3427780945e-01,1,1
5.0353846154e-01,4.0083415084e-01,3.9121384167e-05,5.9157981840e-05,6.6130356294e-01,1,1,5.9157981840e-05,6.6130356294e-01,1,1
5.0353846154e-01,4.2542106032e-01,4.0806696816e-05,5.9215238524e-05,6.8912492515e-01,1,1,5.9215238524e-05,6.8912492515e-01,1,1
5.0353846154e-01,4.5151611504e-01,4.2851244066e-05,5.8918644554e-05,7.2729514385e-01,1,1,5.8918644554e-05,7.2729514385e-01,1,1
5.0353846154e-01,4.7921182366e-01,4.4352723618e-05,5.8539354237e-05,7.5765652348e-01,1,1,5.8539354237e-05,7.5765652348e-01,1,1
